#node1	node2	node1_string_id	node2_string_id	node1_external_id	node2_external_id	neighborhood	fusion	cooccurence	homology	coexpression	experimental	knowledge	textmining	combined_score
MIA3	SEC23A	1852382	1848889	ENSP00000340900	ENSP00000306881	0.000	0.000	0.000	0.000	0.000	0.576	0.000	0.000	0.575
MIA3	MINOS1	1852382	1850749	ENSP00000340900	ENSP00000325562	0.000	0.000	0.000	0.000	0.000	0.512	0.000	0.000	0.512
UBC	SEC24C	1852861	1850394	ENSP00000344818	ENSP00000321845	0.000	0.000	0.000	0.000	0.000	0.890	0.000	0.000	0.890
MIA3	SEC24C	1852382	1850394	ENSP00000340900	ENSP00000321845	0.000	0.000	0.000	0.000	0.000	0.576	0.000	0.000	0.575
UBC	SEC23A	1852861	1848889	ENSP00000344818	ENSP00000306881	0.000	0.000	0.000	0.000	0.000	0.966	0.000	0.000	0.966
UBC	MIA3	1852861	1852382	ENSP00000344818	ENSP00000340900	0.000	0.000	0.000	0.000	0.000	0.620	0.000	0.000	0.620
MIA3	COL7A1	1852382	1851466	ENSP00000340900	ENSP00000332371	0.000	0.000	0.000	0.000	0.000	0.576	0.000	0.000	0.575
SEC24C	SEC23A	1850394	1848889	ENSP00000321845	ENSP00000306881	0.000	0.000	0.000	0.614	0.000	0.977	0.900	0.000	0.997
