#node1	node2	node1_string_id	node2_string_id	node1_external_id	node2_external_id	neighborhood	fusion	cooccurence	homology	coexpression	experimental	knowledge	textmining	combined_score
LPL	APOB	1849220	1843345	ENSP00000309757	ENSP00000233242	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.000	0.899
APOA1	APOB	1843442	1843345	ENSP00000236850	ENSP00000233242	0.000	0.000	0.000	0.000	0.000	0.815	0.900	0.000	0.980
APOF	APOB	1858582	1843345	ENSP00000381250	ENSP00000233242	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.000	0.899
APOA1	CETP	1843442	1842395	ENSP00000236850	ENSP00000200676	0.000	0.000	0.000	0.000	0.000	0.576	0.900	0.000	0.955
LPL	APOA1	1849220	1843442	ENSP00000309757	ENSP00000236850	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.000	0.899
LPL	CETP	1849220	1842395	ENSP00000309757	ENSP00000200676	0.000	0.000	0.000	0.000	0.000	0.576	0.000	0.000	0.575
APOF	CETP	1858582	1842395	ENSP00000381250	ENSP00000200676	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.000	0.899
APOF	APOA1	1858582	1843442	ENSP00000381250	ENSP00000236850	0.000	0.000	0.000	0.000	0.000	0.576	0.000	0.000	0.575
APOB	CETP	1843345	1842395	ENSP00000233242	ENSP00000200676	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.000	0.899
