#node1	node2	node1_string_id	node2_string_id	node1_external_id	node2_external_id	neighborhood	fusion	cooccurence	homology	coexpression	experimental	knowledge	textmining	combined_score
APOE	APOA1	1844127	1843442	ENSP00000252486	ENSP00000236850	0.000	0.000	0.000	0.000	0.000	0.149	0.900	0.000	0.911
ABCA1	PLTP	1856172	1855678	ENSP00000363868	ENSP00000361508	0.000	0.000	0.000	0.000	0.000	0.576	0.000	0.000	0.575
APOA2	APOA1	1854701	1843442	ENSP00000356969	ENSP00000236850	0.000	0.000	0.000	0.000	0.000	0.809	0.900	0.000	0.980
APOA2	APOE	1854701	1844127	ENSP00000356969	ENSP00000252486	0.000	0.000	0.000	0.000	0.000	0.569	0.900	0.000	0.955
PLTP	APOA1	1855678	1843442	ENSP00000361508	ENSP00000236850	0.000	0.000	0.000	0.000	0.000	0.812	0.000	0.000	0.812
ABCA1	APOA1	1856172	1843442	ENSP00000363868	ENSP00000236850	0.000	0.000	0.000	0.000	0.000	0.576	0.900	0.000	0.955
PLTP	APOA2	1855678	1854701	ENSP00000361508	ENSP00000356969	0.000	0.000	0.000	0.000	0.000	0.576	0.000	0.000	0.575
PLTP	APOE	1855678	1844127	ENSP00000361508	ENSP00000252486	0.000	0.000	0.000	0.000	0.000	0.576	0.000	0.000	0.575
